Symbol,Sector,holidays
PAISALO-EQ,Banking Services,
PANACEABIO-EQ,Pharmaceuticals,
PANACHE-EQ,"Computers, Phones & Household Electronics",
PANAMAPET-EQ,Chemicals,
PARACABLES-EQ,"Machinery, Equipment & Components",
PARAGMILK-EQ,Food & Tobacco,
PATELENG-EQ,Construction & Engineering,
PATINTLOG-EQ,Freight & Logistics Services,
PCJEWELLER-EQ,Textiles & Apparel,
PDMJEPAPER-EQ,Paper & Forest Products,
PDSMFL-EQ,NO DATA,
PEARLPOLY-EQ,Containers & Packaging,
PENIND-EQ,Construction & Engineering,
PENINLAND-EQ,Real Estate Operations,
PFOCUS-EQ,Media & Publishing,
PFS-EQ,Banking Services,
PGHH-EQ,Personal & Household Products & Services,
PGHL-EQ,Pharmaceuticals,
